Line,Conference,Team,Year,NCAA,Sagarin Rank,Sagarin Rating,RPI,Games,FGM,FGA,3FGM,3FGA,FTM,FTA,OREB,DREB,PF,Assists,TO,Blocks,Steals,Points,O-FGM,O-FGA,O-3FGM,O-3FGA,O-FTM,O-FTA,O-OREB,O-DREB,O-PF,O-Assists,O-TO,O-Blocks,O-Steals,O-Points,FGMPerGame,FGAPerGame,3FGMPerGame,3FGAPerGame,FTMPerGame,FTAPerGame,OREBPerGame,DREBPerGame,PFPerGame,AssistsPerGame,TOPerGame,BlocksPerGame,StealsPerGame,PointsPerGame,O-FGMPerGame,O-FGAPerGame,O-3FGMPerGame,O-3FGAPerGame,O-FTMPerGame,O-FTAPerGame,O-OREBPerGame,O-DREBPerGame,O-PFPerGame,O-AssistsPerGame,O-TOPerGame,O-BlocksPerGame,O-StealsPerGame,O-PointsPerGame,AssistsTORatio,PossessionsPerGame,O-PossessionsPerGame
1,ACC,Boston College,2012,0,247,67.78,0.4549,31,631,1543,225,664,350,520,222,702,491,358,454,89,153,1837,775,1777,211,604,364,505,341,770,503,410,365,108,231,2125,20.35483871,49.77419355,7.258064516,21.41935484,11.29032258,16.77419355,7.161290323,22.64516129,15.83870968,11.5483871,14.64516129,2.870967742,4.935483871,59.25806452,25,57.32258065,6.806451613,19.48387097,11.74193548,16.29032258,11,24.83870968,16.22580645,13.22580645,11.77419355,3.483870968,7.451612903,68.5483871,0.788546256,62.61677419,63.20129032
2,ACC,Clemson,2012,0,93,78.44,0.5089,31,736,1701,171,532,358,534,345,673,499,392,375,117,231,2001,683,1585,178,495,336,478,293,701,506,354,451,84,184,1880,23.74193548,54.87096774,5.516129032,17.16129032,11.5483871,17.22580645,11.12903226,21.70967742,16.09677419,12.64516129,12.09677419,3.774193548,7.451612903,64.5483871,22.03225806,51.12903226,5.741935484,15.96774194,10.83870968,15.41935484,9.451612903,22.61290323,16.32258065,11.41935484,14.5483871,2.709677419,5.935483871,60.64516129,1.045333333,61.46012903,61.008
3,ACC,Duke,2012,1,16,87.38,0.6514,34,874,1915,274,739,606,864,406,843,626,423,415,136,210,2628,864,1996,153,482,453,657,395,764,708,380,434,89,194,2334,25.70588235,56.32352941,8.058823529,21.73529412,17.82352941,25.41176471,11.94117647,24.79411765,18.41176471,12.44117647,12.20588235,4,6.176470588,77.29411765,25.41176471,58.70588235,4.5,14.17647059,13.32352941,19.32352941,11.61764706,22.47058824,20.82352941,11.17647059,12.76470588,2.617647059,5.705882353,68.64705882,1.019277108,65.91247059,66.27035294
4,ACC,Florida State,2012,1,22,85.44,0.6259,35,877,1923,216,611,473,669,404,869,653,427,565,213,265,2443,749,1965,221,715,482,674,430,738,643,370,531,114,269,2201,25.05714286,54.94285714,6.171428571,17.45714286,13.51428571,19.11428571,11.54285714,24.82857143,18.65714286,12.2,16.14285714,6.085714286,7.571428571,69.8,21.4,56.14285714,6.314285714,20.42857143,13.77142857,19.25714286,12.28571429,21.08571429,18.37142857,10.57142857,15.17142857,3.257142857,7.685714286,62.88571429,0.755752212,65.87725714,65.44868571
5,ACC,Georgia Tech,2012,0,163,73.05,0.4806,31,700,1639,158,507,308,471,340,747,513,340,448,152,161,1866,669,1658,199,573,403,560,306,674,490,376,347,103,211,1940,22.58064516,52.87096774,5.096774194,16.35483871,9.935483871,15.19354839,10.96774194,24.09677419,16.5483871,10.96774194,14.4516129,4.903225806,5.193548387,60.19354839,21.58064516,53.48387097,6.419354839,18.48387097,13,18.06451613,9.870967742,21.74193548,15.80645161,12.12903226,11.19354839,3.322580645,6.806451613,62.58064516,0.758928571,61.02890323,60.8516129
6,ACC,Maryland,2012,0,128,75.62,0.5364,31,719,1685,165,486,526,791,377,762,545,329,412,133,132,2129,777,1827,188,573,436,598,358,713,627,401,338,127,179,2178,23.19354839,54.35483871,5.322580645,15.67741935,16.96774194,25.51612903,12.16129032,24.58064516,17.58064516,10.61290323,13.29032258,4.290322581,4.258064516,68.67741935,25.06451613,58.93548387,6.064516129,18.48387097,14.06451613,19.29032258,11.5483871,23,20.22580645,12.93548387,10.90322581,4.096774194,5.774193548,70.25806452,0.798543689,64.89987097,64.75509677
7,ACC,Miami,2012,0,54,81.59,0.5724,33,814,1890,250,714,454,630,372,775,539,392,382,118,210,2332,778,1847,209,641,416,609,381,771,576,410,436,120,200,2181,24.66666667,57.27272727,7.575757576,21.63636364,13.75757576,19.09090909,11.27272727,23.48484848,16.33333333,11.87878788,11.57575758,3.575757576,6.363636364,70.66666667,23.57575758,55.96969697,6.333333333,19.42424242,12.60606061,18.45454545,11.54545455,23.36363636,17.45454545,12.42424242,13.21212121,3.636363636,6.060606061,66.09090909,1.02617801,63.97818182,63.74618182
8,ACC,North Carolina,2012,1,6,91.36,0.6576,38,1134,2473,194,579,629,922,589,1122,551,659,454,221,259,3091,957,2431,275,862,360,529,425,888,784,445,507,129,238,2549,29.84210526,65.07894737,5.105263158,15.23684211,16.55263158,24.26315789,15.5,29.52631579,14.5,17.34210526,11.94736842,5.815789474,6.815789474,81.34210526,25.18421053,63.97368421,7.236842105,22.68421053,9.473684211,13.92105263,11.18421053,23.36842105,20.63157895,11.71052632,13.34210526,3.394736842,6.263157895,67.07894737,1.45154185,70.12926316,69.83431579
9,ACC,NC State,2012,1,35,83.93,0.5771,37,977,2134,198,557,545,774,456,934,623,577,470,150,249,2697,889,2140,236,710,487,687,414,818,656,425,461,132,238,2501,26.40540541,57.67567568,5.351351351,15.05405405,14.72972973,20.91891892,12.32432432,25.24324324,16.83783784,15.59459459,12.7027027,4.054054054,6.72972973,72.89189189,24.02702703,57.83783784,6.378378378,19.18918919,13.16216216,18.56756757,11.18918919,22.10810811,17.72972973,11.48648649,12.45945946,3.567567568,6.432432432,67.59459459,1.227659574,65.27091892,65.21059459
10,ACC,Virginia,2012,1,36,83.81,0.5762,32,721,1576,155,469,403,558,253,777,506,394,367,88,207,2000,636,1589,149,515,314,495,266,680,527,270,413,75,192,1735,22.53125,49.25,4.84375,14.65625,12.59375,17.4375,7.90625,24.28125,15.8125,12.3125,11.46875,2.75,6.46875,62.5,19.875,49.65625,4.65625,16.09375,9.8125,15.46875,8.3125,21.25,16.46875,8.4375,12.90625,2.34375,6,54.21875,1.073569482,58.6515,59.13375
